Identifier	Other_Name
10239	Vira
10239	Viridae
10472	bacterial virus
10472	bacterial viruses
10472	prokaryotic virus
10474	archaeal virus
10474	prokaryotic virus
10474	SSV1-type phages
10475	Fusellovirus
10475	SSV1 group
12333	bacterial virus
12333	bacterial viruses
12333	prokaryotic virus
12333	unclassified bacteriophages
12333	unclassified phage
12333	unclassified phages
12340	Bacteriophage 933J
12340	Coliphage 933J
12340	phage 933J
12347	Bacteriophage JHJ-1
12366	Bacteriophage h4489a
12366	Streptococcus pyogenes bacteriophage H4489A
12371	Phage h30
12374	Lactococcus bacteriophage
12375	Lactococcus 1 bacteriophage
12375	Lactococcus bacteriophage (ISOLATE 7-9)
12392	Bacteriophage mv4
12392	Lactobacillus delbrueckii subsp. bulgaricus phage mv4
12392	Lactobacillus phage mv4
12392	phage mv4
12403	Bacteriophage P32
12403	Leuconostoc oenos phage P32
12404	Bacteriophage P37
12404	Leuconostoc oenos phage P37
12405	Bacteriophage P54
12405	Leuconostoc oenos phage P54
12406	Bacteriophage PAt5-12
12406	Leuconostoc oenos phage PAt5-12
12408	Bacteriophage PZt11-15
12408	Leuconostoc oenos phage PZt11-15
12409	Bacteriophage d-16 phi
12412	bacteriophage phi 42
12412	bacteriophage phi-42
12412	Staphylococcus aureus bacteriophage phi-42
12412	Staphylococcus aureus phage phi-42
12420	Filamentous bacteriophage
12424	Bacteriophage 13
12425	Bacteriophage 16
12427	phage phi 197
12427	phage phi-197
12429	unassigned viruses
12429	unclassified virus
12440	enterically-transmitted non-A, non-B hepatitis virus ET-NANBHV
12440	Non-A, non-B hepatitis virus
12440	non-A, non-B hepatitis virus ET-NANBHV
12440	non-A, non-B hepatitis-associated virus
12477	yeast killer virus
12672	FEV
12672	frog erythrocytic virus FEV
12877	Sattelites
28368	Corynebacterium diphtheriae virus
33768	Bacteriophage L10
33768	Leuconostoc oenos bacteriophage L10
33768	Leuconostoc oenos phage L10
33769	Bacteriophage mv1
33769	Lactobacillus delbrueckii bacteriophage mv1
33769	Lactobacillus delbrueckii subsp. bulgaricus phage mv1
33769	Lactobacillus phage mv1
38018	bacteriophage
38018	bacteriophages
38018	Phage sp.
38018	unidentified bacteriophage
38018	unidentified phage
39425	Bacteriophage T270
39943	Bacteriophage JHJ-3
41669	Bacteriophage LM4
42171	Bactereiophage N 209
42171	Bacteriophage N 209
42172	Bacteriophage 3/14
42173	Bacteriophage Cz
45331	Bacteriophage fuse 5
45332	Bacteriophage phi AR29
46014	Acholeplasma laidlawii phage L2
46014	Acholeplasma virus L2
46014	Plasmavirus L2
48224	Bacteriophage E
54392	Leuconostoc oenos bacteriophage 10MC
54392	Oenococcus oeni bacteriophage 10MC
57476	Bacillus cereus bacteriophage 12826
57476	Bacteriophage 12826
65388	Mycobacteriophage Ms6
70698	Saccharomyces cerevisiae killer particle M28
76262	Bacteriophage phiU
77041	Stealth Virus Isolate-4
77042	stealth virus isolate-5
77920	Bacteriophage #D
86065	Streptococcus pyogenes bacteriophage H10403
100637	Lactococcus lactis bacteriophage Q42
100638	Lactococcus lactis bacteriophage Q44
100639	Lactococcus lactis bacteriophage Q7
100640	Lactococcus lactis bacteriophage eb1
108916	Bacteriophage F3
108917	Bacteriophage F5
108918	Bacteriophage F6
128975	bacteriophage Fels-1
128975	Phage Fels-1
129861	Salmonella typhimurium phage Gifsy-1
129862	Salmonella typhimurium phage Gifsy-2
131567	biota
2	eubacteria
2	Monera
2	Procaryotae
2	Prokaryota
2	Prokaryotae
2	prokaryote
2	prokaryotes
1224	"Alphaproteobacteriota" Whitman et al. 2018
1224	"Proteobacteria" Garrity et al. 2005
1224	"Proteobacteriota" Panda et al. 2022
1224	Alphaproteobacteriota
1224	proteobacteria
1224	Proteobacteria
1224	Proteobacteriota
1224	Pseudomonadota corrig. Garrity et al. 2021
1224	purple photosynthetic bacteria and relatives
1236	"Pseudomonadia" Oren et al. 2016
1236	gamma proteobacteria
1236	gamma subdivision
1236	gamma subgroup
1236	Gammaproteobacteria Garrity et al. 2005 emend. Williams and Kelly 2013
1236	g-proteobacteria
1236	Proteobacteria gamma subdivision
1236	Pseudomonadia
1236	Purple bacteria, gamma subdivision
33811	unclassified gamma proteobacteria (miscellaneous)
2707	bacterium-like organism
2707	Citrus disease bacterium
2707	Citrus greening disease-associated bacterium-like organism
37449	gas vacuolate str. 90-P(gv)1
37449	unidentified Vibrionaceae clone 90-P<gv>1
41355	unidentified mussel methanotrophic gill symbiont MAR2
73552	marine proteobacterium WC2-3(sm)
73553	marine proteobacterium WC2-3(L)
75760	marine proteobacterium 'Tomales Bay wc1-2 8.3'
87343	obligately oligotrophic bacteria POCPN-71
87344	obligately oligotrophic bacteria POC-112
87736	obligately oligotrophic bacteria POO-2
87738	obligately oligotrophic bacteria POO-15
87740	facultatively oligotrophic bacteria PFO-2
87741	obligately oligotrophic bacteria POT-11
87742	obligately oligotrophic bacteria POT-12
87743	obligately oligotrophic bacteria POCPN-83
105300	Thiobacillus sp. lamellibrachia symbiont-1
115133	marine psychrotrhphic bacterium MK242
115133	marine psychrotrhpic bacterium MK242
121716	unidentified gamma proteobacterium KT11ds10
50423	gamma proteobacteria environmental samples
86473	Gamma Proteobacterial sp.
86473	Gamma proteobacterium sp.
86473	Gamma-proteobacterium
86473	unclassified gamma Proteobacteria.
86473	unclassified gamma proteobacterium
86473	uncultured gamma proteobacteria
86473	uncultured gamma proteobacterium
86473	uncultured Gammaproteobacteria
86473	uncultured Gammaproteobacteria sp.
86473	uncultured gammaproteobacterium
86473	uncultured gamma-proteobacterium
86473	unidentified gamma proteobacterium
86473	unknown gamma proteobacterium
90836	uncultured gamma proteobacteriam Sva0714
72273	Beggiatoales
72273	Thiomicrospira group
72273	Thiothrix/Francisella group
72273	Thiotrichales Garrity et al. 2005
34064	Francisella group
34064	Francisellaceae Sjostedt 2005 emend Boscaro et al. 2012
34064	Francisellaceae Sjostedt 2005 emend Larson et al. 2016
